__id,tipo_entidad,codigo_entidad,nombre_entidad,fecha_corte,unicap,descrip_uc,renglon,desc_renglon,tipo,_1_nro_corresponsales_f_sicos,_2_nro_corresponsales_f_sicos,_3_nro_corresponsales_f_sicos,_4_nro_corresponsales_f_sicos,_5_nro_dep_sitos,_6_monto_dep_sitos,_7_nro_giros_enviados,_8_monto_giros_enviados,_9_nro_giros_recibidos,_10_monto_giros_recibidos,_11_nro_pagos_corresponsales,_12_monto_pagos_corresponsales,_13_nro_retiros_corresponsales,_14_monto_retiros,_15_nro_transferencias,_16_monto_transferencias,_17_nro_transacciones_tr,_18_monto_transacciones,_19_nro_ctas_ahorro_hasta,_20_saldo_ctas_ahorro_hasta,_21_nro_ctas_ahorro_1smmlv,_22_saldo_ctas_ahorro_1smmlv,_23_nro_ctas_ahorr_3smmlv,_24_saldo_ctas_ahorr_3smmlv,_25_nro_ctas_ahorro_activas,_26_saldo_ctas_ahorro_activas,_27_nro_ctas_ahorro_mujeres,_28_saldo_ctas_ahorro_mujeres,_29_nro_ctas_ahorro_hombres,_30_saldo_ctas_ahorro_hombres,_31_nro_ctas_ahorro,_32_saldo_ctas_ahorro,_41_nro_cr_dito_consumo,_42_monto_cr_dito_consumo,_43_nro_cr_dito_consumo,_44_monto_cr_dito_consumo,_45_nro_cr_dito_consumo,_46_monto_cr_dito_consumo,_47_nro_cred_cons_bajo_monto,_48_monto_cred_cons_bajo,_49_nro_cred_cons_bajo_monto,_50_monto_cred_cons_bajo,_51_nro_cred_cons_bajo_monto,_52_monto_cred_cons_bajo,_53_nro_cr_dito_vivienda,_54_monto_cr_dito_vivienda,_55_nro_cr_dito_vivienda,_56_monto_cr_dito_vivienda,_57_nro_cr_dito_vivienda,_58_monto_cr_dito_vivienda,_59_nro_microcr_dito_hasta,_60_monto_microcr_dito_hasta,_61_nro_microcr_dito_1smmlv,_62_monto_microcr_dito_1smmlv,_63_nro_microcr_dito_2smmlv,_64_monto_microcr_dito_2smmlv,_65_nro_microcr_dito_3smmlv,_66_monto_microcr_dito_3smmlv,_67_nro_microcr_dito_4smmlv,_68_monto_microcr_dito_4smmlv,_69_nro_microcr_dito_10smmlv,_70_monto_microcr_dito_10smmlv,_71_nro_microcr_dito_mujeres,_72_monto_microcr_dito_mujeres,_73_nro_microcr_dito_hombres,_74_monto_microcr_dito_hombres,_75_nro_microcr_dito,_76_monto_microcr_dito,_77_nro_productos_a_nivel,_78_monto_saldo_productos,_79_nro_corresponsales_f,_80_nro_corresponsales_f,_81_nro_corresponsales_propios,_82_nro_corresponsales,_83_nro_corresponsales_m,_84_nro_corresponsales_m,_85_nro_dep_sitos,_86_monto_dep_sitos,_87_nro_giros_enviados,_88_monto_giros_enviados,_89_nro_giros_recibidos,_90_monto_giros_recibidos,_91_nro_pagos_corresponsales,_92_monto_pagos_corresponsales,_93_nro_retiros_corresponsales,_94_monto_retiros,_95_nro_transferencias,_96_monto_transferencias,_97_nro_transacciones_tr,_98_monto_transacciones
row-xbch~ghns.vd7i,1,52,Bancamia S.A.,2021-03-31T00:00:00.000,1,ANTIOQUIA,154,CAUCASIA,Microcredito por rango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12598575.0,83.0,110333792.0,56.0,123571034.0,39.0,125811860.0,102.0,536950083.0,36.0,493773605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row-j75v_dgq5.3txj,1,30,Banco Caja Social S.A.,2021-03-31T00:00:00.000,1,ANTIOQUIA,190,CISNEROS,Corresponsales físicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row-nsgp_ibtc~p45k,1,52,Bancamia S.A.,2021-03-31T00:00:00.000,1,ANTIOQUIA,240,EBEJICO,Corresponsales fisicos,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row-7ery~3wqb~ab5a,1,7,Bancolombia,2021-03-31T00:00:00.000,1,ANTIOQUIA,91,BETANIA,Corresponsales físicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row-6tab~hxxm.zpbf,1,43,Banagrario,2021-03-31T00:00:00.000,1,ANTIOQUIA,234,DABEIBA,Transacciones y tramites a traves de corresponsales fisicos,0.0,0.0,0.0,0.0,18.0,5380000.0,0.0,0.0,94.0,59782400.0,1409.0,837869115.0,3029.0,1164884000.0,926.0,324727048.0,5476.0,2392642563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row-in3s~778h~z7n6,1,56,Banco Falabella S.A.,2021-03-31T00:00:00.000,1,ANTIOQUIA,93,BETULIA,Transacciones y tramites a traves de corresponsales fisicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16391666.0,0.0,0.0,0.0,0.0,43.0,16391666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row-cx2u-mavi~hfrq,1,13,BBVA Colombia,2021-03-31T00:00:00.000,1,ANTIOQUIA,856,VALPARAISO,Corresponsales fisicos,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row-visr-kaxp-98iz,1,7,Bancolombia,2021-03-31T00:00:00.000,1,ANTIOQUIA,376,LA CEJA,Cuentas de Ahorro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26002.0,3644560391.54,3839.0,6039688937.45,1244.0,4376556344.85,27772.0,102164278510.6,14871.0,27960129223.68,18659.0,47867406926.31,34417.0,104295706327.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row-dpvx~426p_95dh,1,7,Bancolombia,2021-03-31T00:00:00.000,1,ANTIOQUIA,631,SABANETA,Microcredito por rango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1800000.0,4.0,8900000.0,3.0,10100000.0,9.0,49100000.0,15.0,206800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row-vudc_z94f-cny3,1,42,Scotiabank Colpatria S.A.,2021-03-31T00:00:00.000,1,ANTIOQUIA,125,CAICEDO,Corresponsales fisicos,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row-nmxd.hkeq-dkxs,1,42,Scotiabank Colpatria S.A.,2021-03-31T00:00:00.000,1,ANTIOQUIA,761,SOPETRAN,Transacciones y tramites a traves de corresponsales fisicos,0.0,0.0,0.0,0.0,129.0,47649295.0,0.0,0.0,0.0,0.0,689.0,122305251.0,0.0,0.0,0.0,0.0,818.0,169954546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row-mbka~we4j_6ccg,1,13,BBVA Colombia,2021-03-31T00:00:00.000,1,ANTIOQUIA,658,SAN JOSE DE LA MONTAÑA,Transacciones y tramites a traves de corresponsales fisicos,0.0,0.0,0.0,0.0,7.0,2952000.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3675000.0,0.0,0.0,17.0,6627000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row-fpwp_j2h8_gmeh,1,39,Banco Davivienda,2021-03-31T00:00:00.000,1,ANTIOQUIA,138,CAÑASGORDAS,Corresponsales físicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row-ek2y-7bpd-yjnx,1,42,Scotiabank Colpatria S.A.,2021-03-31T00:00:00.000,1,ANTIOQUIA,576,PUEBLORRICO,Corresponsales físicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
